,anthesis.ARIHAS_2013_drought,anthesis.ARIHAS_2013_watered,anthesis.BIOGAI_2012_drought,anthesis.BIOGAI_2012_watered,anthesis.BIOGAI_2013_drought,anthesis.BIOGAI_2013_watered,anthesis.BIOGRA_2013_drought,anthesis.BIOGRA_2013_watered,anthesis.BIONER_2012_drought,anthesis.BIONER_2012_watered,anthesis.BIONER_2013_drought,anthesis.BIONER_2013_watered,anthesis.KWSCAR_2012_drought,anthesis.KWSCAR_2012_watered,anthesis.KWSKRK_2012_drought,anthesis.KWSKRK_2012_watered,anthesis.KWSKRK_2013_drought,anthesis.KWSKRK_2013_watered,anthesis.KWSMUR_2013_drought,anthesis.KWSMUR_2013_watered,anthesis.SYNHUN_2012_drought,anthesis.SYNHUN_2012_watered,anthesis.SYNHUN_2013_drought,anthesis.SYNIT_2013_drought,anthesis.SYNIT_2013_watered,anthesis.UNIBO_2012_drought,anthesis.UNIBO_2012_watered
Lo1187_bergamo,69.87696971,71.07487732,71.25543823,67.58271184,83.60420328,77.76213755,70.26325458,69.66284006,67.77781953,69.44284058,75.60444825,71.98848847,71.47108141,71.26245946,65.55360294,65.50833817,67.62200328,67.81631052,61.596153,64.57865291,65.75508588,66.31461066,70.86552733,70.89137195,71.03129119,66.51561922,64.99021803
Lo1199_bergamo,71.18826175,72.4415965,69.16552748,70.13946848,84.07153392,77.56415356,71.40754384,70.75660099,71.82322458,71.68753553,75.68641777,70.99768601,71.22441662,73.12316793,68.26730138,65.96009584,71.56888609,68.467539,62.85588645,66.39701601,71.50332013,66.75627923,74.53720336,72.53759258,71.13920458,69.62323362,67.11106477
Lo1203_bergamo,69.99389974,71.73923019,71.40264236,68.11480713,84.37263921,77.67810037,71.6282161,70.25658474,70.87995491,69.60175562,77.56854716,72.13597039,74.89918657,74.13326952,66.55198902,67.20561199,71.0364574,68.29321566,65.80465804,66.28854931,71.23173693,68.32502654,75.06668415,73.22759336,73.36347913,69.14649258,69.2493015
Lo1223_bergamo,69.96939084,72.42499868,71.16202286,68.74013444,81.12780937,77.59887072,69.72946117,70.62375433,70.58498481,72.10854217,76.82705204,72.14260349,72.98694197,72.68822187,64.59937976,67.8726773,70.34888901,68.97374916,62.38351001,64.3809171,66.674959,66.57580863,74.13972088,72.66409139,72.46957417,70.09816778,67.77307401
Lo1242_bergamo,70.66607958,70.92394423,70.66888113,65.73525276,85.15561702,77.82019257,68.19782094,69.29274087,68.36906322,70.36898797,76.39157386,70.78887411,70.85270852,68.63322604,65.93686803,64.46459813,68.33517103,67.58031045,63.79158315,66.854267,66.09414706,66.42104949,74.18601734,73.1385048,72.00019533,68.26555869,66.04511993
Lo1251_bergamo,71.28911418,70.75364905,74.67693728,71.59983635,88.18660671,78.91959206,76.19558808,73.22650753,72.20030057,74.89072294,79.31779546,76.3667091,74.3755452,70.5285342,70.25659473,69.5510325,70.4216604,68.94205642,65.66464303,66.61962528,73.51858545,70.12685095,77.27066286,73.2570142,73.44808238,71.5788968,70.17321501
Lo1253_bergamo,69.81208673,72.22652384,72.92950714,66.87387872,86.31308383,77.26353606,69.89044309,70.75436008,73.06399399,72.20008321,75.75979862,71.82457249,74.0724476,73.31169994,69.43579173,67.17027817,70.0088684,68.30757263,64.28989018,64.10682792,70.31922216,69.24322034,76.99836016,73.84105247,71.67789271,69.96546608,67.50618995
Lo1261_bergamo,70.61029103,68.24496665,69.9981497,69.36108398,86.0315069,77.54204361,71.87792859,71.00449078,70.56973294,72.1693304,77.04319369,73.10702158,72.74924314,70.82299936,67.71947044,66.39465655,70.76482519,68.4417769,64.82698902,64.33482762,69.88568258,66.52470445,74.18496998,73.65507941,71.76681713,71.34938268,68.66274082
Lo1266_bergamo,72.59748216,69.9608442,69.47758873,68.6966751,81.7404619,77.68920615,71.89856721,70.84510125,70.36049078,71.94978505,78.00280964,72.72924645,73.34042323,70.67931229,67.23280746,67.18812275,68.812949,68.20448288,64.96885643,68.20032537,70.42746858,68.3843748,75.69006547,72.89353186,71.45303703,70.63910603,69.56635102
Lo1270_bergamo,71.12659022,70.89741597,67.84768389,70.78863093,87.6621295,79.85431737,74.10559253,72.49817611,71.56913611,73.88414754,79.94884677,76.16866675,73.84090252,73.40904682,69.32672656,66.27713948,72.14676457,69.13682039,66.07217157,68.31429403,71.61900731,69.33843047,78.01119815,74.82113941,70.49119733,72.42705862,70.29566936
Lo1273_bergamo,70.05788494,69.54127828,66.68935269,69.07909068,81.00321392,77.8725592,67.53140415,70.53470117,70.43446524,72.65375154,76.43659268,71.40302734,72.20183441,71.12592964,67.71256936,66.53230309,69.20926361,66.24828737,62.50261369,64.5523968,68.32140396,66.66217518,77.08522532,72.07316702,71.17616532,71.15136442,67.98915483
Lo1274_bergamo,67.08198979,67.64227027,67.53209101,64.58552458,84.14509829,76.25369014,68.8097554,68.95988417,70.17665586,70.83273047,76.62545909,71.48228142,73.101016,69.41595321,65.19354027,65.52409245,68.58677245,66.7019106,64.70866045,65.81419841,71.23171555,66.76637619,76.03365023,72.63837413,70.90664844,71.51614185,68.46030705
Lo1280_bergamo,70.13842458,70.99662305,65.16012655,67.81161033,84.47119703,77.73777075,72.38686751,69.99649333,68.91264981,68.77110983,77.3379994,74.29664008,69.09434001,72.11582027,65.56953313,63.65245745,69.54505493,67.07539718,65.51964255,67.71020637,69.43622318,68.09490056,77.65901338,72.32713181,73.31398249,66.60250201,65.1594675
Lo1282_bergamo,69.82157919,71.65019322,70.68227664,66.80782736,84.31728614,77.2526473,70.49623324,70.83621677,71.59045636,73.16013043,79.33489305,73.92398636,72.19312215,70.4948174,70.053422,61.89523103,68.68219591,70.51084585,65.06057029,67.65428384,72.58809055,69.23335422,78.05533307,74.37632271,71.92024397,72.19702153,67.76873517
Lo1284_bergamo,69.34575872,70.94559829,70.09772755,65.46417928,78.78349847,77.29425216,70.14365195,69.17862329,68.87701611,70.13690914,74.40706659,70.29030728,69.01120883,70.1676273,66.60278413,65.60105525,69.05659438,66.67248244,62.80065323,64.13830473,69.13484022,66.7552975,72.75468186,73.64464293,71.34928203,69.43951274,66.88406812
Lo1288_bergamo,71.15326608,70.91266511,73.50468875,69.08033206,85.82430661,77.50396146,73.68897405,72.0594073,74.28446588,74.91690187,80.35968069,74.83556178,76.40261623,74.43861278,68.0742464,68.63572325,71.47741172,69.28280984,67.27379817,68.61554734,72.1203927,71.31580318,78.97138376,74.84249553,72.82734752,74.57357232,70.29349662
Lo1290_bergamo,70.6503601,72.32026438,67.65543801,69.70128686,82.2981579,77.79666189,72.28930648,70.95224026,71.05387921,70.70633412,76.60258321,74.06566649,73.16824076,68.50139194,67.29046479,67.17964917,69.70068977,67.70896753,63.77257311,65.57764701,71.04762688,68.0234569,76.09276008,74.47084135,73.43001084,68.99415854,69.29081988
Lo1301_bergamo,69.85036137,69.54306861,66.44983452,68.08040099,79.90070515,78.02048932,70.08332692,70.11628839,71.91472109,72.53598309,75.78494236,70.16306536,72.00414315,70.78292528,66.18993307,64.91871378,67.884651,68.62221718,61.95573466,63.63543114,68.4825362,66.39411718,73.29531536,72.24179332,76.01004148,66.79391824,65.18942485
Lo904_bergamo,66.68987863,69.59895946,70.09118677,68.76381713,81.47042083,77.40108368,70.74939879,69.63586728,70.35770845,70.28576683,74.86184505,70.15464079,72.44484201,69.26645786,64.94137047,65.85233985,69.62159236,67.89931078,62.78611719,65.58688597,70.527114,65.66413251,74.145432,72.89548973,72.91511821,67.66626395,66.72164832
Lp5_usda,66.90954944,65.16049805,63.1310006,65.52420968,76.53613778,73.2770692,66.85967051,66.65587986,69.3890429,68.43582864,70.02399249,67.57218458,70.49992369,66.50734828,62.43875926,62.89033418,63.09761172,64.30370113,58.84652124,59.47267878,64.59849579,64.46480037,69.0603196,71.75248354,68.99495695,65.25727444,63.27119596
ML606_usda,65.59737364,66.11184435,64.12426361,63.40221379,76.14198876,76.48595847,70.33120245,67.25190798,68.62352354,69.18517257,72.80822796,68.40965484,71.32514639,68.70790231,63.96447076,62.98420694,64.97603059,64.30868634,60.92092972,62.114576,66.16097249,66.34035477,71.07326588,71.80313021,70.59628318,66.2957956,65.0473734
Mo15W_inra,71.09678565,70.81816548,71.72995428,71.07800064,86.94984386,79.17134146,73.19892279,72.53029394,72.62176269,72.80517245,78.39267647,74.01981474,73.7001921,72.87316325,70.08373668,68.32614264,70.42081949,70.07108483,65.82532632,67.29489492,72.66400377,71.58713091,78.6578437,73.72280112,73.77456415,72.7065036,68.74751019
Mo17_inra,69.5310737,70.27565699,70.22017035,70.29053666,83.67044059,78.74432082,74.0774955,71.59967606,71.16078622,70.32442139,76.18198049,74.50166603,70.99101875,70.22820094,67.81148006,68.39048884,71.16635859,68.88361218,65.45889021,66.10578986,70.28461316,67.37348401,75.99366844,72.41132634,73.60766095,66.83873874,66.46297844
MS153_inra,64.63496116,67.69178859,64.02581715,65.04578775,77.7705815,75.44832898,70.34516505,67.1768356,68.86191591,69.27234817,71.48220347,67.37695716,70.99452863,69.61562942,63.65773258,63.61232501,66.39578702,63.81977127,59.17938325,59.77773495,66.05899383,65.14465916,70.57921452,70.70336704,71.18158742,64.63151449,65.34188893
MS71_uh,66.6100686,66.60798136,65.35995396,65.63491431,78.2996819,74.85237896,69.53294984,68.42952533,69.02931083,68.02321943,74.00794075,69.56226673,72.06946468,68.55321547,64.74534185,64.35056312,70.29759698,69.75330713,60.6767214,61.31206063,66.50237071,65.15134102,73.81172448,72.38146104,72.05054773,64.04687801,65.14986984
N16_inra,72.61161685,70.87226467,72.77961463,70.28184685,88.29369152,81.20505461,72.08367138,73.29106601,73.65104659,73.41254677,78.15311198,74.17414645,73.87013184,71.36785674,71.1011811,72.17058514,70.68593769,68.57279991,66.094402,67.91620248,72.29098163,72.69240003,77.61567679,75.20833917,72.55251829,69.12031811,70.20769476
N192_usa,68.42072116,63.27487029,64.32407063,64.21346733,77.56897235,76.05576605,66.56825212,67.09077107,68.36587788,68.60827642,70.87644616,67.91086794,67.10388847,64.34510298,64.25652845,62.02665394,65.61537271,64.55687357,61.31498095,59.54418161,64.78539526,63.90038842,69.34770925,72.54356705,72.67923697,64.70883566,61.76352932
N22_inra,70.90260694,73.01872659,68.74868528,67.8686084,81.18718901,77.48989678,72.74515822,70.81902885,71.11959337,73.06609771,76.54422736,72.92291281,73.65951475,71.17354609,67.09979302,67.96697088,68.76448341,67.03270157,63.3714016,65.51869555,70.37971138,69.46172119,75.79894077,73.22922965,72.71804805,69.6445834,68.9261158
N25_inra,70.04858813,71.50840383,70.93275,71.16773436,86.62989494,78.65597667,78.56372732,71.68083518,70.58492648,72.51708258,79.2199669,72.66424941,71.0663303,71.66748575,69.37413205,67.15372559,69.95834762,67.88508883,62.81370689,64.3292969,69.27900255,68.73216189,75.28979489,73.45247631,69.5937659,70.54474821,68.62277042
N6_inra,64.12092345,63.94467671,72.98668519,66.2642082,77.95972352,75.8263995,69.59577951,68.62952723,68.50705341,69.83075889,73.62341233,69.03438207,73.2156729,71.34454768,66.28682881,64.0887959,68.11517951,66.77919221,60.4489273,63.20264343,67.34999116,64.55665646,71.87854825,71.73889956,74.26970814,68.72312574,65.06534474
NC290_uh,71.27660668,68.30066305,67.31655078,65.79794459,80.15083509,76.95082961,73.8494496,69.42979273,70.79737107,69.95522786,75.49526718,70.63906075,73.65758165,70.70163592,64.70765425,66.98567763,68.92102792,68.73434654,63.52137176,64.78204384,70.02729441,66.25498747,74.22136805,71.35977509,70.20754729,67.60764677,68.9654109
NC358_uh,69.23814533,72.18716547,69.52054584,72.55966067,85.60598181,78.27359238,73.69008702,73.55511967,69.93139718,71.7537747,78.36787235,73.910072,72.48086016,73.07251006,70.13670828,72.31367374,71.28854058,71.83901361,65.99474884,63.14361536,71.61406171,70.11991377,77.62528336,73.75251892,73.38251905,70.55395848,68.49730791
NDB8_inra,61.39911589,66.72356374,63.00100999,65.52557325,76.05062281,73.44268994,65.08823986,66.24012839,67.57765937,67.17424902,68.88388535,65.93136093,71.60858889,69.12777503,63.73083788,62.74691213,66.87602713,62.908147,58.99723242,60.59170472,63.64573097,64.74832781,68.19768868,70.95458562,70.54671241,67.20104023,64.66442004
NK764_usda,68.39196144,65.48470301,64.24899079,64.87073048,79.44405836,73.49058035,68.44897229,66.33988459,68.23062325,67.62651998,70.56215061,67.41942037,66.01557549,67.44681507,62.28175527,60.99752811,66.82547008,65.63952824,58.37464677,59.83537959,64.59995405,64.07191135,69.95946856,72.93094573,71.30792369,63.78607602,63.46299578
NK807_usda,64.10147255,68.27179096,63.63589013,62.99007308,76.3196472,75.02194703,66.74676011,66.01242285,67.28400217,67.88128863,67.62007761,65.29709479,70.26767232,65.46743889,61.2790463,63.45779531,64.44846741,64.06086407,59.03102113,59.03164901,64.89443873,64.52463442,69.72188421,71.62070894,69.69022947,65.83429646,64.7767508
